Run 327: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 328: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 329: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------323/330----------------

Run 330: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 331: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 332: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 333: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 334: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 335: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 336: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 337: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 338: {Accuracy: 0.80, Precision: 0.50, Recall: 1.00}
Run 339: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------332/340----------------

Run 340: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 341: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 342: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 343: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 344: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 345: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 346: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 347: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 348: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 349: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------342/350----------------

Run 350: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 351: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 352: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 353: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 354: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 355: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 356: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 357: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 358: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 359: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------352/360----------------

Run 360: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 361: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 362: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 363: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 364: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 365: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 366: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 367: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 368: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 369: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------362/370----------------

Run 370: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 371: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 372: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 373: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 374: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 375: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 376: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 377: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 378: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
Run 379: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
----------------372/380----------------

Run 380: {Accuracy: 1.00, Precision: NaN, Recall: NaN}
Run 381: {Accuracy: 1.00, Precision: 1.00, Recall: 1.00}
